Algorithm,Accuracy,Precision,Accuracy_scaling_x,Precision_scaling_x,Accuracy_scaling_y,Precision_scaling_y
KN,0.905222437,1,0.905222437,1,0.905222437,1
NB,0.958413926,1,0.97098646,1,0.97098646,1
RF,0.972920696,0.991071429,0.973887814,0.982608696,0.973887814,0.982608696
SVC,0.979690522,0.975609756,0.97582205,0.974789916,0.97582205,0.974789916
ETC,0.976789168,0.975,0.974854932,0.974576271,0.974854932,0.974576271
xgb,0.969052224,0.949152542,0.968085106,0.948717949,0.968085106,0.948717949
GBDT,0.951644101,0.94,0.950676983,0.930693069,0.950676983,0.930693069
LR,0.955512573,0.933962264,0.955512573,0.96,0.955512573,0.96
BgC,0.955512573,0.870967742,0.958413926,0.868217054,0.958413926,0.868217054
AdaBoost,0.924564797,0.857142857,0.921663443,0.820224719,0.921663443,0.820224719
DT,0.931334623,0.845360825,0.933268859,0.841584158,0.933268859,0.841584158
